,filename,isotope,energy,counts,unc_counts,intensity,unc_intensity,efficiency,unc_efficiency,decays,unc_decays,decay_rate,unc_decay_rate,chi2,start_time,live_time,real_time
2,trainingdata/CO020317_Ti06_18cm_50MeV.Spe,55CO,477.2,953.2732523462048,38.943852482311186,0.2019999999999999,0.017,0.0023535931366965,3.83127514067637e-05,2005851.470389297,201241.90580111605,252.62612977195175,25.345328186538545,0.8973315613206918,03/02/2017 12:35:18,7937.0,7940.0
3,trainingdata/CO020317_Ti06_18cm_50MeV.Spe,46SC,889.277,6401.153853552591,135.12617306819683,0.99984,1e-05,0.0014171720832298,2.2156575674861743e-05,4519280.439674353,131469.33814556873,569.1788966844274,16.557851151834853,2.7610163994658903,03/02/2017 12:35:18,7937.0,7940.0
4,trainingdata/CO020317_Ti06_18cm_50MeV.Spe,55CO,931.1,142.83880494390604,27.940408947530845,0.75,0.0375,0.0013628579007383,2.2524950532330048e-05,139797.20564890595,30639.689830351123,17.60670096333828,3.858903001303668,1.086686848339307,03/02/2017 12:35:18,7937.0,7940.0
5,trainingdata/CO020317_Ti06_18cm_50MeV.Spe,48V,944.13,1046.4024119388205,40.27062453264749,0.0787,7.000000000000001e-05,0.0013465587076952,2.2669644897942613e-05,9877859.14821073,515256.4804488899,1244.0628650139458,64.89376328071661,1.086686848339307,03/02/2017 12:35:18,7937.0,7940.0
6,trainingdata/CO020317_Ti06_18cm_50MeV.Spe,48V,983.525,12602.374298623246,221.24438978991932,0.9998,0.0004,0.0012990013832958,2.3145743508991306e-05,9707194.922849445,257780.43169675829,1222.568630081794,32.466049332085426,4.0366175712454915,03/02/2017 12:35:18,7937.0,7940.0
7,trainingdata/CO020317_Ti06_18cm_50MeV.Spe,46SC,1120.545,5485.0889685429975,114.55248158692947,0.99987,1e-05,0.0011560533790202,2.411629166985339e-05,4747078.056305053,154089.64865011,597.8687728343895,19.406756756940805,2.3977684460101343,03/02/2017 12:35:18,7937.0,7940.0
8,trainingdata/CO020317_Ti06_18cm_50MeV.Spe,44SC,1157.02,548.0978876872987,34.10453872492839,0.999,0.004,0.0011237383189704,2.396382619409826e-05,488417.8998692759,38355.70499106082,61.51358940419093,4.830693323811186,1.4923459929387617,03/02/2017 12:35:18,7937.0,7940.0
9,trainingdata/CO020317_Ti06_18cm_50MeV.Spe,48V,1312.106,8059.21430439933,1194.5898008831527,0.982,0.003,0.0010035330937203,2.4144461428949088e-05,8181136.518817847,1232161.5123297696,1030.3698386420465,155.18406956294328,2.39889650376096,03/02/2017 12:35:18,7937.0,7940.0
10,trainingdata/CO020317_Ti06_18cm_50MeV.Spe,48SC,1312.12,1845.8597677330056,1191.1748073784538,1.001,0.0069999999999999,0.0010035233431937,2.414501723745531e-05,1838236.010385964,1187919.6213766637,231.51587032568816,149.61204299454204,2.39889650376096,03/02/2017 12:35:18,7937.0,7940.0
11,trainingdata/CO020317_Ti06_18cm_50MeV.Spe,55CO,1408.5,19.83887252291557,5.263770569020872,0.1689999999999999,0.008,0.0009404400102408,3.4634096078833665e-05,124871.49371412,44042.85253605594,15.7268883770932,5.546958757689666,1.5345672675014397,03/02/2017 12:35:18,7937.0,7940.0
12,trainingdata/CO020317_Ti06_18cm_50MeV.Spe,51SC,1437.3,23.42265039960816,5.874710585207806,0.52,0.026,0.0009230935830221,4.082452656549757e-05,48814.751504155174,16194.209137318405,6.147953589943977,2.0395729392088673,1.5345672675014397,03/02/2017 12:35:18,7937.0,7940.0
13,trainingdata/CO020317_Ti06_18cm_50MeV.Spe,40K,1460.82,11.100496610763503,4.123563285728458,0.1066,0.0017,0.0009094023231105,4.699065918245643e-05,114549.51815429116,55055.84915425523,14.4268914552004,6.933986039578744,1.5345672675014397,03/02/2017 12:35:18,7937.0,7940.0
14,trainingdata/CO020317_Ti06_18cm_50MeV.Spe,42K,1524.6,5.011493604383628,2.9598226572446027,0.1808,0.00904,0.0008742742280025,6.877456091867617e-05,31716.495933684055,23671.768857745377,3.9945208984488736,2.981331090396143,1.336565028186356,03/02/2017 12:35:18,7937.0,7940.0
15,trainingdata/CO020317_Ti06_18cm_50MeV.Spe,50V,1553.77,1.7066758039377876,2.1600273053338093,0.8300000000000001,0.0415,0.0008591144323794,8.124769720054319e-05,2394.341242351014,3550.742761463561,0.3015543126386667,0.4471968213430177,1.336565028186356,03/02/2017 12:35:18,7937.0,7940.0
16,trainingdata/CO020317_Ti06_18cm_50MeV.Spe,51SC,1567.5,2.833354990592946,2.5309061207967276,0.149,0.005,0.0008521633555614,8.767920474829124e-05,22323.176314285036,24069.249133976267,2.811483163008191,3.031391578586432,1.336565028186356,03/02/2017 12:35:18,7937.0,7940.0
17,trainingdata/CO020317_Ti06_18cm_50MeV.Spe,51SC,2144.1,2.2463418857866443e-14,0.8060313901846164,0.318,0.011,0.0006379326913008,0.0007490869365337,1.1077404097796959e-10,3974.7891810589026,1.395139055138156e-14,0.5006031714179978,1.1484166666666662,03/02/2017 12:35:18,7937.0,7940.0
18,trainingdata/CO020317_Ti06_18cm_50MeV.Spe,48V,2240.396,86.12142029696295,9.057536999418405,0.02333,0.00013,0.0006127219590397,0.0009417925790598,6026943.522134358,9308200.053237416,759.0608969942516,1172.317387057609,1.4360762009016947,03/02/2017 12:35:18,7937.0,7940.0
